Ride,Date/Time,Wait Time
Pirates of the Caribbean,3/4/2019 10:00,40
Pirates of the Caribbean,3/4/2019 10:05,50
Pirates of the Caribbean,3/4/2019 10:10,40
Pirates of the Caribbean,3/4/2019 10:15,45
Pirates of the Caribbean,3/4/2019 10:20,50
Pirates of the Caribbean,3/4/2019 10:25,45
Pirates of the Caribbean,3/4/2019 10:30,45
Pirates of the Caribbean,3/4/2019 10:35,40
Pirates of the Caribbean,3/4/2019 10:40,45
Pirates of the Caribbean,3/4/2019 10:45,40
Pirates of the Caribbean,3/4/2019 10:50,45
Pirates of the Caribbean,3/4/2019 10:55,40
Pirates of the Caribbean,3/4/2019 11:00,40
Pirates of the Caribbean,3/4/2019 11:05,50
Pirates of the Caribbean,3/4/2019 11:10,45
Pirates of the Caribbean,3/4/2019 11:15,45
Pirates of the Caribbean,3/4/2019 11:20,50
Pirates of the Caribbean,3/4/2019 11:25,50
Pirates of the Caribbean,3/4/2019 11:30,60
Pirates of the Caribbean,3/4/2019 11:35,60
Pirates of the Caribbean,3/4/2019 11:40,60
Pirates of the Caribbean,3/4/2019 11:45,55
Pirates of the Caribbean,3/4/2019 11:50,65
Pirates of the Caribbean,3/4/2019 11:55,60
Pirates of the Caribbean,3/4/2019 12:00,60
Pirates of the Caribbean,3/4/2019 12:05,65
Pirates of the Caribbean,3/4/2019 12:10,45
Pirates of the Caribbean,3/4/2019 12:15,45
Pirates of the Caribbean,3/4/2019 12:20,45
Pirates of the Caribbean,3/4/2019 12:25,45
Pirates of the Caribbean,3/4/2019 12:30,45
Pirates of the Caribbean,3/4/2019 12:35,45
Pirates of the Caribbean,3/4/2019 12:40,45
Pirates of the Caribbean,3/4/2019 12:45,45
Pirates of the Caribbean,3/4/2019 12:50,35
Pirates of the Caribbean,3/4/2019 12:55,35
Pirates of the Caribbean,3/4/2019 13:00,50
Pirates of the Caribbean,3/4/2019 13:05,55
Pirates of the Caribbean,3/4/2019 13:10,55
Pirates of the Caribbean,3/4/2019 13:15,50
Pirates of the Caribbean,3/4/2019 13:20,50
Pirates of the Caribbean,3/4/2019 13:25,50
Pirates of the Caribbean,3/4/2019 13:30,50
Pirates of the Caribbean,3/4/2019 13:35,50
Pirates of the Caribbean,3/4/2019 13:40,50
Pirates of the Caribbean,3/4/2019 13:45,50
Pirates of the Caribbean,3/4/2019 13:50,50
Pirates of the Caribbean,3/4/2019 13:55,55
Pirates of the Caribbean,3/4/2019 14:00,55
Pirates of the Caribbean,3/4/2019 14:05,60
Pirates of the Caribbean,3/4/2019 14:10,60
Pirates of the Caribbean,3/4/2019 14:15,60
Pirates of the Caribbean,3/4/2019 14:20,60
Pirates of the Caribbean,3/4/2019 14:25,45
Pirates of the Caribbean,3/4/2019 14:30,45
Pirates of the Caribbean,3/4/2019 14:35,45
Pirates of the Caribbean,3/4/2019 14:40,45
Pirates of the Caribbean,3/4/2019 14:45,35
Pirates of the Caribbean,3/4/2019 14:50,35
Pirates of the Caribbean,3/4/2019 14:55,35
Pirates of the Caribbean,3/4/2019 15:00,35
Pirates of the Caribbean,3/4/2019 15:05,40
Pirates of the Caribbean,3/4/2019 15:10,40
Pirates of the Caribbean,3/4/2019 15:15,30
Pirates of the Caribbean,3/4/2019 15:20,30
Pirates of the Caribbean,3/4/2019 15:25,25
Pirates of the Caribbean,3/4/2019 15:30,30
Pirates of the Caribbean,3/4/2019 15:35,30
Pirates of the Caribbean,3/4/2019 15:40,65
Pirates of the Caribbean,3/4/2019 15:45,60
Pirates of the Caribbean,3/4/2019 15:50,60
Pirates of the Caribbean,3/4/2019 15:55,60
Pirates of the Caribbean,3/4/2019 16:00,65
Pirates of the Caribbean,3/4/2019 16:05,55
Pirates of the Caribbean,3/4/2019 16:10,55
Pirates of the Caribbean,3/4/2019 16:15,50
Pirates of the Caribbean,3/4/2019 16:20,45
Pirates of the Caribbean,3/4/2019 16:25,50
Pirates of the Caribbean,3/4/2019 16:30,35
Pirates of the Caribbean,3/4/2019 16:35,40
